Class,Major
Junior,Biochemistry
Junior,Software Engineering
Junior,Computer Engineering
Senior,Chemical Engineering
Junior,Manufacturing Engineering
Junior,Electrical Engineering
Sophomore,Chemical Engineering
Senior,Electrical Engineering
Sophomore,Chemical Engineering
Senior,Electrical Engineering
Junior,Mathematics
Junior,Applied and Computational Mathematics
Junior,Cybersecurity
Junior,Chemistry
Junior,Biochemistry
Sophomore,Electrical Engineering
Sophomore,Applied and Computational Mathematics
Senior,Mechanical Engineering
Junior,Physics
Sophomore,Electrical Engineering
Sophomore,Chemical Engineering
Junior,Cybersecurity
Senior,Chemical Engineering
Junior,Biochemistry
Sophomore,Computer Science
Junior,Electrical Engineering
Sophomore,Cybersecurity
Sophomore,Mechanical Engineering Pre-Professional
Sophomore,Civil Engineering
Senior,Chemical Engineering
Sophomore,Mathematics
Junior,Civil Engineering
Junior,Manufacturing Engineering
Junior,Biochemistry
Junior,Electrical Engineering
Junior,Cybersecurity
Senior,Electrical Engineering
Junior,Electrical Engineering
Sophomore,Machine Learning
Sophomore,Biochemistry
Sophomore,Chemical Engineering
Sophomore,Chemical Engineering
Senior,Cybersecurity
Senior,Software Engineering
Junior,Biochemistry
Junior,Manufacturing Engineering
Sophomore,Mechanical Engineering Pre-Professional
Junior,Manufacturing Engineering
Senior,Electrical Engineering
Junior,Cybersecurity
Junior,Chemical Engineering
Sophomore,Chemical Engineering
Sophomore,Chemical Engineering
Junior,Biochemistry
Senior,Chemical Engineering
Junior,Computer Engineering
Sophomore,Chemical Engineering
Sophomore,Biochemistry
Sophomore,Chemical Engineering
Senior,Biochemistry
Sophomore,Applied and Computational Mathematics
Senior,Civil Engineering
Freshman,Chemistry
Junior,Civil Engineering
Sophomore,Manufacturing Engineering
Junior,Manufacturing Engineering
Senior,Mechanical Engineering
Senior,Biochemistry
Junior,Mechanical Engineering
Sophomore,Chemical Engineering
Sophomore,Electrical Engineering
Senior,Mathematics
Junior,Electrical Engineering
Sophomore,Computer Science
Sophomore,Chemical Engineering
Junior,Chemical Engineering
Senior,Applied Physics
Sophomore,Applied and Computational Mathematics
Junior,Physics
Junior,Civil Engineering
Sophomore,Mathematics
Sophomore,Electrical Engineering
Senior,Chemical Engineering
Junior,Electrical Engineering
Senior,Applied and Computational Mathematics
Senior,Mathematics
Sophomore,Chemical Engineering
Junior,Chemical Engineering
Senior,Physics and Astronomy
Junior,Mathematics
Senior,Manufacturing Engineering
Freshman,Chemical Engineering
Junior,Electrical Engineering
Senior,Electrical Engineering
Junior,Biochemistry
Freshman,Open-Major
Sophomore,Mathematics
Sophomore,Biochemistry
Junior,Chemical Engineering
Sophomore,Manufacturing Engineering
Junior,Civil Engineering
Junior,Manufacturing Engineering
Sophomore,Chemical Engineering
Junior,Mechanical Engineering Pre-Professional
Junior,Chemical Engineering
Junior,Chemical Engineering
Senior,Chemical Engineering
Senior,Mathematics
Freshman,Civil Engineering
Senior,Cybersecurity
Junior,Civil Engineering
Junior,Middle East Studies / Arabic
Senior,Applied and Computational Mathematics
Sophomore,Computer Engineering
Junior,Mathematics Education Premajor
Senior,Physics
Junior,Computer Engineering
Junior,Biochemistry
Junior,Electrical Engineering
